main_category_id, main_category_name, subCategory_id, subCategory_name, term_id, term_name, term_difinition
0,Communications,0,Application Service Providers (ASPs),0,added value,	    The value that is added to any product or service as the result of a particular process. For example  VARs add value to systems through the loading of applications or proprietary software onto computers and ASPs add value to the services they provide.
0,Communications,0,Application Service Providers (ASPs),1,AIP - application infrastructure provider,
0,Communications,0,Application Service Providers (ASPs),2,Application Service Provider,
0,Communications,0,Application Service Providers (ASPs),3,ASP Aggregator,	    A company that combines and offers for distribution a number of ASP services or suite of products  usually from a variety of partners. PREVIOUSASPNEXTASP.NET 
0,Communications,0,Application Service Providers (ASPs),4,ASPIC,	    The Application Service Provider Industry Consortium (ASP Industry Consortium) is the global advocacy group promoting the application service provider industry by sponsoring research and articulating the strategic and measurable benefits of this delivery model. The ASP Industry Consortium was formed in May 1999 by 25 leading technology companies. In 2001  the ASPIC merged into CompTIA and continues its mission within that organization. 
0,Communications,0,Application Service Providers (ASPs),5,back end system,
0,Communications,0,Application Service Providers (ASPs),6,back office,
0,Communications,0,Application Service Providers (ASPs),7,backsourcing,	    The process of bringing IT operations back in-house after they have been outsourced as the outsourcing contracts expire or are terminated. PREVIOUSbackslashNEXTbackspace Related LinksBacksourcing Best PracticesBacksourcing Bringing it Back In-house (PDF)Webopedia's Quick Reference Section
0,Communications,0,Application Service Providers (ASPs),8,BarDIMM,	    A bar code printing system for Windows  Unix  AS400  mainframes and ERPs. BarDIMM boards add barcode printing  fonts  macros and logo storage capabilities to Hewlett-Packard (HP) corporate laser and business inkjet printers. The BarDIMM Pro offers support for two-dimensional barcodes  that is barcodes which are read both horizontally and vertically. BarDIMM is registered trademark of Jetmobile SAS. PREVIOUSbarcodeNEXTbare metal Related LinksJetmobile SASWebopedia's "Did You Know...?" SectionWebopedia's Quick Reference Section
0,Communications,0,Application Service Providers (ASPs),9,BCP,	    Short for Business Continuity Planning  BCP a term that covers both disaster recovery planning (DRP) and business resumption planning. BCP is the preparation and testing of measures that protect business operations and also provide the means for the recovery of technologies in the event of any loss  damage or failure of facilities. 
0,Communications,0,Application Service Providers (ASPs),10,Business Services Provider,	    A Business Services Provider (BSP) is an application service provider that focuses on providing and hosting applications related exclusively to business functions. PREVIOUSbusiness service managementNEXTbusiness telephone Related LinksWebopedia's "Did You Know...?" Section
0,Communications,0,Application Service Providers (ASPs),11,bypass airflow,	    An unintentional conditioned air leak that prevents a data center air cooling system from reaching some computer equipment. The cooled air may escape thorough cabling holes  escape under cabinets  or through holes in the walls or ceiling.
0,Communications,0,Application Service Providers (ASPs),12,chiller,	    Also called a data center chiller  it's a cooling infrastructure used in a data centers and industrial facilities. A chiller cooling system removes heat from one element and deposits into another element. In large data centers the chiller is used to cool the water used in their heating  ventilation and air-conditioning units. Due to the amount of heat produced by many servers and systems in a data center  the chiller cooling system would be operational around-the-clock. As such  a large percentage of the electricity consumed in a data center is used by the chiller. PREVIOUSchild domainNEXTchip Related LinksEnterprise Storage ForumData-center power glossaryWebopedia's Quick Reference Section
